2018-09-20 Thu	2773
2018-09-21 Fri	2613	2644
2018-09-24 Mon	2735
2018-09-25 Tue	2683	2789
2018-09-26 Wed	2647	2765
2018-09-27 Thu	2613	2644
2018-09-28 Fri	2670	2798
2018-10-01 Mon	2604	2802
2018-10-02 Tue	2675	2734
2018-10-03 Wed	2669
2018-10-04 Thu	2613	2780
2018-10-05 Fri	2739	2779
2018-10-08 Mon	2684	2770
2018-10-09 Tue	2780	2791
2018-10-10 Wed	2673	2762
2018-10-11 Thu	2670	2799
2018-10-15 Mon	2761	2800
2018-10-16 Tue	2764	2799
2018-10-17 Wed	2618	2706
2018-10-18 Thu	2637	2765
2018-10-19 Fri	2739	2807
2018-10-22 Mon	2797	2800
2018-10-23 Tue	2613	2798
2018-10-24 Wed	2637	2740
2018-10-25 Thu	2677	2807
2018-10-26 Fri	2794	2810
2018-10-29 Mon	2705	2773
2018-10-30 Tue	2672	2701
2018-10-31 Wed	2645	2707
2018-11-01 Thu	2705
2018-11-02 Fri	2628	2705
2018-11-05 Mon	2628	2690
2018-11-06 Tue	2631	2787
2018-11-07 Wed	2602	2809
2018-11-08 Thu	2618	2681
2018-11-09 Fri	2606	2639
2018-11-12 Mon	2683	2705
2018-11-13 Tue	2645	2798
2018-11-14 Wed	2629	2642
2018-11-15 Thu	2701	2761
2018-11-16 Fri	2640
2018-11-19 Mon	2639	2809
2018-11-20 Tue	2644	2780
2018-11-21 Wed	2630	2766
2018-11-26 Mon	2647	2739	2769
2018-11-27 Tue	2604	2668
2018-11-28 Wed	2705	2737
2018-11-29 Thu	2678	2681
2018-11-30 Fri	2800	2805
2018-12-03 Mon	2601	2775
2018-12-04 Tue	2734	2810
2018-12-05 Wed	2638	2689
2018-12-06 Thu	2706	2735
2018-12-07 Fri	2617	2773
2018-12-10 Mon	2675	2776
2018-12-11 Tue	2631	2645
2018-12-12 Wed	2736	2770
2018-12-13 Thu	2642	2694
2018-12-14 Fri	2602	2673
2018-12-17 Mon	2640	2677
2018-12-18 Tue	2773	2795
2018-12-19 Wed	2628	2805
2018-12-20 Thu	2613	2615
2018-12-21 Fri	2628	2637
2019-01-07 Mon	2612	2809
2019-01-08 Tue	2617	2779
2019-01-09 Wed	2615	2616
2019-01-10 Thu	2761	2764
2019-01-11 Fri	2689	2780
2019-01-14 Mon	2691	2736
