2018-09-20 Thu	8163
2018-09-21 Fri	8167	8181
2018-09-24 Mon	8192
2018-09-25 Tue	8196	8198
2018-09-26 Wed	8163	8181
2018-09-27 Thu	8162	8169
2018-09-28 Fri	8154	8174
2018-10-01 Mon	8155	8176
2018-10-02 Tue	8171	8183
2018-10-03 Wed	8192
2018-10-04 Thu	8174	8175
2018-10-05 Fri	8164	8189
2018-10-08 Mon	8155	8158
2018-10-09 Tue	8150	8194
2018-10-10 Wed	8162	8187
2018-10-11 Thu	8177	8190
2018-10-15 Mon	8172	8198
2018-10-16 Tue	8178	8198
2018-10-17 Wed	8179	8188
2018-10-18 Thu	8179	8190	8199
2018-10-19 Fri	8159	8169
2018-10-22 Mon	8154	8196
2018-10-23 Tue	8163	8190
2018-10-24 Wed	8159	8183
2018-10-25 Thu	8152	8174
2018-10-26 Fri	8156	8190
2018-10-29 Mon	8159	8182
2018-10-30 Tue	8164	8181
2018-10-31 Wed	8164	8171
2018-11-01 Thu	8182
2018-11-02 Fri	8154	8158
2018-11-05 Mon	8164	8183
2018-11-06 Tue	8183	8194
2018-11-07 Wed	8177	8199
2018-11-08 Thu	8183	8197
2018-11-09 Fri	8158	8161
2018-11-12 Mon	8154	8164
2018-11-13 Tue	8177	8189
2018-11-14 Wed	8158	8190
2018-11-15 Thu	8162	8198
2018-11-16 Fri	8156	8191
2018-11-19 Mon	8176	8182
2018-11-20 Tue	8182	8199
2018-11-21 Wed	8165	8197
2018-11-26 Mon	8159	8178
2018-11-27 Tue	8152
2018-11-28 Wed	8191	8196
2018-11-29 Thu	8151	8152
2018-11-30 Fri	8162	8178
2018-12-03 Mon	8167	8179
2018-12-04 Tue	6968	8198
2018-12-05 Wed	8158	8181
2018-12-06 Thu	8161	8182
2018-12-07 Fri	8175	8182
2018-12-10 Mon	8166	8181
2018-12-11 Tue	8159	8196
2018-12-12 Wed	8166	8174
2018-12-13 Thu	8167	8192
2018-12-14 Fri	8156	8173
2018-12-17 Mon	8157	8177
2018-12-18 Tue	8159	8196
2018-12-19 Wed	8160	8189
2018-12-20 Thu	8164	8188
2018-12-21 Fri	8163	8179
2019-01-07 Mon	8181	8190
2019-01-08 Tue	8151	8162	9822
2019-01-09 Wed	8188	8193
2019-01-10 Thu	8183	8198
2019-01-11 Fri	8167	8195
2019-01-14 Mon	8155	8165
