2018-09-20 Thu	8177
2018-09-21 Fri	8154	8185
2018-09-24 Mon	8194
2018-09-25 Tue	8154	8174
2018-09-26 Wed	8185	8187
2018-09-27 Thu	8161	8163
2018-09-28 Fri	8179	8181
2018-10-01 Mon	8171	8195
2018-10-02 Tue	8182	8196
2018-10-03 Wed	8152
2018-10-04 Thu	8166	8177
2018-10-05 Fri	8178	8191
2018-10-08 Mon	8159	8197
2018-10-09 Tue	8170	8197
2018-10-10 Wed	8154	8177
2018-10-11 Thu	8158	8170
2018-10-15 Mon	8165	8183
2018-10-16 Tue	8150	8192
2018-10-17 Wed	8190	8194
2018-10-18 Thu	8183	8193
2018-10-19 Fri	8192	8193
2018-10-22 Mon	8178	8185
2018-10-23 Tue	8151	8173
2018-10-24 Wed	8179	8194
2018-10-25 Thu	8164	8192
2018-10-26 Fri	8163	8168
2018-10-29 Mon	8175	8181
2018-10-30 Tue	8150	8166
2018-10-31 Wed	8159	8160
2018-11-01 Thu	8164
2018-11-02 Fri	8158	8198
2018-11-05 Mon	8155	8190
2018-11-06 Tue	8181	8188
2018-11-07 Wed	8155	8158
2018-11-08 Thu	8186	8192
2018-11-09 Fri	8172	8188
2018-11-12 Mon	8157	8199
2018-11-13 Tue	8171	8180
2018-11-14 Wed	8155
2018-11-15 Thu	8155	8196
2018-11-16 Fri	8160	8173
2018-11-19 Mon	8151	8172
2018-11-20 Tue	8179	8193
2018-11-21 Wed	8183	8195
2018-11-26 Mon	8152	8165
2018-11-27 Tue	8189	8199
2018-11-28 Wed	8165	8194
2018-11-29 Thu	8189	8191
2018-11-30 Fri	8183	8188
2018-12-03 Mon	8157	8193
2018-12-04 Tue	8167	8188
2018-12-05 Wed	8151
2018-12-06 Thu	8157	8172
2018-12-07 Fri	8161	8189
2018-12-10 Mon	8172	8192
2018-12-11 Tue	8158	8188
2018-12-12 Wed	8188	8198
2018-12-13 Thu	8173	8177
2018-12-14 Fri	8151	8189
2018-12-17 Mon	8171	8175
2018-12-18 Tue	8155	8197
2018-12-19 Wed	8151	8191
2018-12-20 Thu	8157	8174
2018-12-21 Fri	8170	8196
2019-01-07 Mon	8165	8186
2019-01-08 Tue	8173	8174
2019-01-09 Wed	8171	8172
2019-01-10 Thu	8164	8192
2019-01-11 Fri	8177	8189
2019-01-14 Mon	8150	8167
